Object ID,Class Label,Estimated Distance (cm),Ground Truth Distance (cm),Error (cm)
3,C - N -B - L,17.572858603542997,17.7,0.1271413964570023
3,C - N -B - L,17.533032426795508,17.7,0.16696757320449152
3,C - N -B - L,17.536946203993175,17.7,0.16305379600682457
3,C - N -B - L,17.552873871740232,17.7,0.14712612825976734
3,C - N -B - L,17.562470557408236,17.7,0.13752944259176303
3,C - N -B - L,17.559083689501925,17.7,0.14091631049807418
3,C - N -B - L,17.539427384374044,17.7,0.1605726156259557
3,C - N -B - L,17.662576541553705,17.7,0.03742345844629469
3,C - N -B - L,17.604503665961417,17.7,0.09549633403858238
3,C - N -B - L,17.573987820334857,17.7,0.12601217966514255
3,C - N -B - L,17.671788922407625,17.7,0.028211077592374068
3,C - N -B - L,17.67053027743252,17.7,0.02946972256748026
3,C - N -B - L,17.585406137783522,17.7,0.11459386221647705
3,C - N -B - L,17.67618937413344,17.7,0.023810625866559576
3,C - N -B - L,17.668915596591546,17.7,0.0310844034084532
3,C - N -B - L,17.602182444614275,17.7,0.09781755538572412
3,C - N -B - L,17.503251387349806,17.7,0.19674861265019317
3,C - N -B - L,17.679224301567306,17.7,0.020775698432693446
3,C - N -B - L,17.60625876106734,17.7,0.09374123893265818
3,C - N -B - L,17.39997364102843,17.7,0.30002635897156793
3,C - N -B - L,17.561246257237492,17.7,0.13875374276250696
3,C - N -B - L,17.660915310611347,17.7,0.03908468938865184
3,C - N -B - L,17.550082398464777,17.7,0.14991760153522193
3,C - N -B - L,17.613263709228637,17.7,0.08673629077136269
3,C - N -B - L,17.573595282222836,17.7,0.126404717777163
3,C - N -B - L,17.768462669089764,17.7,0.06846266908976517
3,C - N -B - L,17.689980144121883,17.7,0.010019855878116601
3,C - N -B - L,17.554176318076923,17.7,0.14582368192307626
3,C - N -B - L,17.65550998939421,17.7,0.044490010605787944
3,C - N -B - L,17.649299570735177,17.7,0.05070042926482188
3,C - N -B - L,17.647063203697442,17.7,0.0529367963025571
3,C - N -B - L,17.63033571639969,17.7,0.06966428360031074
3,C - N -B - L,17.57131251667232,17.7,0.12868748332767765
3,C - N -B - L,17.662034351612274,17.7,0.03796564838772554
3,C - N -B - L,17.615500574563516,17.7,0.08449942543648348
3,C - N -B - L,17.63067718068887,17.7,0.06932281931112882
3,C - N -B - L,17.557089330015625,17.7,0.1429106699843743
3,C - N -B - L,17.57059814765838,17.7,0.12940185234161916
3,C - N -B - L,17.560369056210025,17.7,0.13963094378997454
3,C - N -B - L,17.658065376329166,17.7,0.04193462367083356
3,C - N -B - L,17.550756684752887,17.7,0.1492433152471122
3,C - N -B - L,17.60998970607969,17.7,0.09001029392030802
3,C - N -B - L,17.63320475759981,17.7,0.06679524240018964
3,C - N -B - L,17.473827365551116,17.7,0.2261726344488828
3,C - N -B - L,17.72797196624755,17.7,0.02797196624755216
3,C - N -B - L,17.453683961335223,17.7,0.24631603866477647
3,C - N -B - L,17.58746603129875,17.7,0.11253396870124988
3,C - N -B - L,17.530057265093625,17.7,0.16994273490637468
3,C - N -B - L,17.61640470269488,17.7,0.08359529730511994
3,C - N -B - L,17.597345450940654,17.7,0.1026545490593449
3,C - N -B - L,17.809974496275245,17.7,0.10997449627524603
3,C - N -B - L,17.513945500172493,17.7,0.186054499827506
3,C - N -B - L,17.601850304308766,17.7,0.09814969569123377
3,C - N -B - L,17.622890300939975,17.7,0.07710969906002418
3,C - N -B - L,17.686886737825773,17.7,0.013113262174226037
3,C - N -B - L,17.60533429060002,17.7,0.09466570939997965
3,C - N -B - L,17.64887886565752,17.7,0.051121134342480445
3,C - N -B - L,17.604654981838948,17.7,0.09534501816105134
3,C - N -B - L,17.582219588070437,17.7,0.11778041192956223
3,C - N -B - L,17.704275659801937,17.7,0.004275659801937337
3,C - N -B - L,17.59031210428319,17.7,0.10968789571681015
3,C - N -B - L,17.590147077494837,17.7,0.1098529225051621
3,C - N -B - L,17.5861586405475,17.7,0.11384135945250051
3,C - N -B - L,17.61813910984341,17.7,0.08186089015659093
3,C - N -B - L,17.819280654215234,17.7,0.1192806542152347
3,C - N -B - L,17.75022931231305,17.7,0.050229312313049945
3,C - N -B - L,17.63032169520193,17.7,0.06967830479807091
3,C - N -B - L,17.55823288188871,17.7,0.1417671181112894
3,C - N -B - L,17.69338696540559,17.7,0.006613034594408873
3,C - N -B - L,17.63159111637238,17.7,0.06840888362761888
3,C - N -B - L,17.73288271605389,17.7,0.032882716053890704
3,C - N -B - L,17.645077725318732,17.7,0.054922274681267425
3,C - N -B - L,17.564334341968248,17.7,0.13566565803175124
3,C - N -B - L,17.64995174457555,17.7,0.050048255424449906
3,C - N -B - L,17.580023149358702,17.7,0.11997685064129726
3,C - N -B - L,17.706938362553757,17.7,0.006938362553757571
3,C - N -B - L,17.767279843074096,17.7,0.06727984307409685
3,C - N -B - L,17.762566020075983,17.7,0.06256602007598389
3,C - N -B - L,17.6797824767997,17.7,0.020217523200297904
3,C - N -B - L,17.758670567608696,17.7,0.058670567608697155
3,C - N -B - L,17.58310799753044,17.7,0.11689200246955878
3,C - N -B - L,17.555985183090474,17.7,0.14401481690952522
3,C - N -B - L,17.7261141482797,17.7,0.02611414827969938
3,C - N -B - L,17.806454485519577,17.7,0.1064544855195777
3,C - N -B - L,17.682065307537595,17.7,0.0179346924624042
3,C - N -B - L,17.588689064891675,17.7,0.11131093510832457
3,C - N -B - L,17.814343836472478,17.7,0.1143438364724787
3,C - N -B - L,17.60532277645546,17.7,0.09467722354454011
3,C - N -B - L,17.530482109879376,17.7,0.16951789012062335
3,C - N -B - L,17.6031649627073,17.7,0.09683503729269916
3,C - N -B - L,17.54843327168266,17.7,0.15156672831733786
3,C - N -B - L,17.602765364710315,17.7,0.09723463528968423
3,C - N -B - L,17.7006260389847,17.7,0.0006260389847021486
3,C - N -B - L,17.5161865171195,17.7,0.18381348288049892
3,C - N -B - L,17.647706121831536,17.7,0.05229387816846298
3,C - N -B - L,17.672035037872142,17.7,0.027964962127857262
3,C - N -B - L,17.659197295853012,17.7,0.04080270414698717
3,C - N -B - L,17.73161285089131,17.7,0.031612850891310273
3,C - N -B - L,17.666448165588704,17.7,0.033551834411294834
3,C - N -B - L,17.66949631749401,17.7,0.03050368250599078
3,C - N -B - L,17.53470150396633,17.7,0.16529849603367097
3,C - N -B - L,17.644881102171436,17.7,0.05511889782856372
3,C - N -B - L,17.69503104740159,17.7,0.004968952598410681
3,C - N -B - L,17.64293080483074,17.7,0.05706919516925879
3,C - N -B - L,17.638607159803513,17.7,0.061392840196486276
3,C - N -B - L,17.609645751277156,17.7,0.09035424872284281
3,C - N -B - L,17.550822072845676,17.7,0.149177927154323
3,C - N -B - L,17.65150839480626,17.7,0.04849160519373896
3,C - N -B - L,17.57129613141104,17.7,0.12870386858896055
3,C - N -B - L,17.637421748123334,17.7,0.06257825187666555
3,C - N -B - L,17.67469551121335,17.7,0.025304488786648704
3,C - N -B - L,17.664620607182243,17.7,0.03537939281775593
3,C - N -B - L,17.557381338756244,17.7,0.14261866124375544
3,C - N -B - L,17.54479615523881,17.7,0.1552038447611892
3,C - N -B - L,17.634895437822404,17.7,0.06510456217759497
3,C - N -B - L,17.50131682919874,17.7,0.1986831708012602
3,C - N -B - L,17.640955339641923,17.7,0.05904466035807587
3,C - N -B - L,17.83918451532637,17.7,0.13918451532637022
3,C - N -B - L,17.624900462600596,17.7,0.075099537399403
3,C - N -B - L,17.656132843318826,17.7,0.04386715668117347
3,C - N -B - L,17.564607763047114,17.7,0.13539223695288527
3,C - N -B - L,17.739157951689016,17.7,0.03915795168901681
3,C - N -B - L,17.629781483682788,17.7,0.07021851631721177
3,C - N -B - L,17.61057314339504,17.7,0.08942685660495897
3,C - N -B - L,17.453762369858634,17.7,0.24623763014136557
3,C - N -B - L,17.490917377666637,17.7,0.20908262233336217
3,C - N -B - L,17.68404003338681,17.7,0.015959966613188215
3,C - N -B - L,17.598601087740715,17.7,0.10139891225928466
3,C - N -B - L,17.675327180481364,17.7,0.02467281951863498
3,C - N -B - L,17.675129882606747,17.7,0.0248701173932524
3,C - N -B - L,17.613788090788766,17.7,0.086211909211233
3,C - N -B - L,17.72745077065312,17.7,0.027450770653121737
3,C - N -B - L,17.60508180531446,17.7,0.09491819468554041
3,C - N -B - L,17.887295464529394,17.7,0.18729546452939516
3,C - N -B - L,17.676399961132837,17.7,0.023600038867162
3,C - N -B - L,17.590447576349103,17.7,0.10955242365089646
3,C - N -B - L,17.75443220803311,17.7,0.05443220803310922
3,C - N -B - L,17.566099449481342,17.7,0.133900550518657
3,C - N -B - L,17.68159243445199,17.7,0.01840756554801004
3,C - N -B - L,17.46887845449593,17.7,0.23112154550407027
