Object ID,Class Label,X,Y,Z
3,C - N -B - L,4.756327930678997,0.4286996237094222,18.921447463106364
3,C - N -B - L,4.754939978311663,0.40373687631281324,18.878564917472495
3,C - N -B - L,4.756606740624516,0.4546130431580074,18.882779048553765
3,C - N -B - L,4.759367115005592,0.4275162001287961,18.899929048749236
3,C - N -B - L,4.76031771785078,0.4282412662977284,18.91026221011949
3,C - N -B - L,4.753345421780235,0.4487374158082027,18.906615424778554
3,C - N -B - L,4.765046766105029,0.448169999906839,18.885450641450646
3,C - N -B - L,4.7882914383009245,0.42967931756173716,19.01805059916219
3,C - N -B - L,4.77789077900624,0.41878346683087336,18.955521053495133
3,C - N -B - L,4.7657999247869505,0.4367729382631137,18.922663339059373
3,C - N -B - L,4.76354662595998,0.4342778601234133,19.02796996312398
3,C - N -B - L,4.780912616248519,0.4397926584353048,19.026614726317693
3,C - N -B - L,4.769657968863612,0.4228298930994541,18.934957929176793
3,C - N -B - L,4.816629758708901,0.43815567953332085,19.032708117457453
3,C - N -B - L,4.7812952840583565,0.43016651779795473,19.024876130486962
3,C - N -B - L,4.749683231928552,0.40594196687849743,18.953021695322334
3,C - N -B - L,4.744165487585287,0.42933195248080774,18.846498400238072
3,C - N -B - L,4.780210962678155,0.4263580038809949,19.035975953458973
3,C - N -B - L,4.766959261375566,0.37027887507388557,18.957410839362574
3,C - N -B - L,4.734605822364228,0.4489044602001285,18.735294839382362
3,C - N -B - L,4.751805322041545,0.4037460769532104,18.908943953831063
3,C - N -B - L,4.788999118655289,0.4037516481776345,19.016261880848965
3,C - N -B - L,4.755888819128381,0.45926360530326166,18.896923350238946
3,C - N -B - L,4.765219149672407,0.4482482022611105,18.964953366256236
3,C - N -B - L,4.748673072468178,0.4090493656672517,18.92224067650734
3,C - N -B - L,4.80442823660688,0.434150767004676,19.13206271548579
3,C - N -B - L,4.789136554592806,0.44204212921295677,19.047557228561068
3,C - N -B - L,4.735095080769495,0.41606925366464037,18.90133144835246
3,C - N -B - L,4.769154427447435,0.4434401136745124,19.010441740612325
3,C - N -B - L,4.77862736781967,0.4364361291741389,19.003754717571173
3,C - N -B - L,4.777630695016102,0.41957876815322054,19.00134672565777
3,C - N -B - L,4.77067289308108,0.42966625343217557,18.98333552558868
3,C - N -B - L,4.772482401858278,0.4355422756697648,18.919782725333366
3,C - N -B - L,4.782765231790304,0.4261642020758121,19.017466800093224
3,C - N -B - L,4.783385869676576,0.4244797780874328,18.96736189470746
3,C - N -B - L,4.757793898271597,0.41826381217703773,18.9837031947741
3,C - N -B - L,4.744658641676276,0.41226800823050475,18.904468012732856
3,C - N -B - L,4.767816316179208,0.3987684175093122,18.919013533702596
