Object ID,Class Label,Estimated Distance (cm),Ground Truth Distance (cm),Error (cm)
3,C - N -B - L,15.823299198827241,15.5,0.32329919882724134
3,C - N -B - L,15.53852445913201,15.5,0.038524459132009525
3,C - N -B - L,15.664320710516764,15.5,0.16432071051676367
3,C - N -B - L,15.488181135180348,15.5,0.01181886481965222
3,C - N -B - L,15.49369382127108,15.5,0.006306178728920031
3,C - N -B - L,15.770427245523251,15.5,0.27042724552325126
3,C - N -B - L,15.60153521089112,15.5,0.10153521089111983
3,C - N -B - L,15.346253402962814,15.5,0.15374659703718585
3,C - N -B - L,15.592156899901203,15.5,0.09215689990120346
3,C - N -B - L,15.572788605287949,15.5,0.07278860528794873
3,C - N -B - L,15.286060019406317,15.5,0.21393998059368258
3,C - N -B - L,15.76419924347806,15.5,0.26419924347806045
3,C - N -B - L,15.685624538330531,15.5,0.18562453833053105
3,C - N -B - L,15.36276825529961,15.5,0.13723174470039012
3,C - N -B - L,15.313651069920477,15.5,0.18634893007952336
3,C - N -B - L,15.691603082083182,15.5,0.19160308208318177
3,C - N -B - L,15.555351942384023,15.5,0.05535194238402319
3,C - N -B - L,15.448729425267915,15.5,0.05127057473208474
3,C - N -B - L,15.399286878019991,15.5,0.10071312198000903
3,C - N -B - L,15.344568195562198,15.5,0.1554318044378018
3,C - N -B - L,15.661628931615855,15.5,0.161628931615855
3,C - N -B - L,15.621818844282178,15.5,0.12181884428217771
3,C - N -B - L,15.582660992840022,15.5,0.08266099284002237
3,C - N -B - L,15.456727868861641,15.5,0.043272131138358816
3,C - N -B - L,15.719278319560106,15.5,0.21927831956010557
3,C - N -B - L,15.37535071182542,15.5,0.12464928817458087
3,C - N -B - L,15.621401180639216,15.5,0.12140118063921612
3,C - N -B - L,15.315869753250116,15.5,0.1841302467498842
3,C - N -B - L,15.52330678840502,15.5,0.02330678840501932
3,C - N -B - L,15.502106832154492,15.5,0.0021068321544923663
3,C - N -B - L,15.490805658665314,15.5,0.009194341334685774
3,C - N -B - L,15.375800175218675,15.5,0.12419982478132496
3,C - N -B - L,15.52122960210435,15.5,0.02122960210435032
3,C - N -B - L,15.362106327520076,15.5,0.13789367247992423
3,C - N -B - L,15.458805580688288,15.5,0.04119441931171153
3,C - N -B - L,15.704338828688757,15.5,0.20433882868875664
3,C - N -B - L,15.500413362376259,15.5,0.0004133623762587746
3,C - N -B - L,15.537382547367324,15.5,0.03738254736732394
3,C - N -B - L,15.536920385074803,15.5,0.03692038507480255
3,C - N -B - L,15.366163645231179,15.5,0.13383635476882105
3,C - N -B - L,15.49694245969177,15.5,0.0030575403082302444
3,C - N -B - L,15.226700573487962,15.5,0.27329942651203787
3,C - N -B - L,15.41966754016223,15.5,0.08033245983776993
3,C - N -B - L,15.542043820057033,15.5,0.04204382005703344
3,C - N -B - L,15.659977867587163,15.5,0.1599778675871626
3,C - N -B - L,15.725499086930272,15.5,0.22549908693027199
3,C - N -B - L,15.658082534340044,15.5,0.1580825343400445
3,C - N -B - L,15.456876213044792,15.5,0.04312378695520813
3,C - N -B - L,15.683887474481915,15.5,0.18388747448191545
3,C - N -B - L,15.7154056177435,15.5,0.21540561774349953
3,C - N -B - L,15.473986575398722,15.5,0.026013424601277535
3,C - N -B - L,15.373225761354183,15.5,0.12677423864581705
3,C - N -B - L,15.678664892693854,15.5,0.17866489269385433
3,C - N -B - L,15.630760257382027,15.5,0.13076025738202723
3,C - N -B - L,15.589927104400576,15.5,0.0899271044005765
3,C - N -B - L,15.41224061106461,15.5,0.0877593889353907
3,C - N -B - L,15.246575165827723,15.5,0.2534248341722769
3,C - N -B - L,15.379018385484345,15.5,0.12098161451565481
3,C - N -B - L,15.752353178617755,15.5,0.25235317861775464
3,C - N -B - L,15.752048333782458,15.5,0.25204833378245795
3,C - N -B - L,15.437222935489125,15.5,0.06277706451087539
3,C - N -B - L,15.525477591323126,15.5,0.025477591323125992
3,C - N -B - L,15.390389528591093,15.5,0.10961047140890656
3,C - N -B - L,15.54017179836789,15.5,0.04017179836788998
3,C - N -B - L,15.403681803009817,15.5,0.09631819699018251
3,C - N -B - L,15.500622156892774,15.5,0.0006221568927742283
3,C - N -B - L,15.665352750174229,15.5,0.1653527501742289
3,C - N -B - L,15.177099160195889,15.5,0.32290083980411133
3,C - N -B - L,15.362493332295148,15.5,0.13750666770485154
3,C - N -B - L,15.615204899613316,15.5,0.1152048996133157
3,C - N -B - L,15.712115845265483,15.5,0.21211584526548322
3,C - N -B - L,15.512483263795387,15.5,0.01248326379538689
3,C - N -B - L,15.596896607652637,15.5,0.09689660765263675
3,C - N -B - L,15.852036095880006,15.5,0.3520360958800062
3,C - N -B - L,15.573147042707486,15.5,0.07314704270748607
3,C - N -B - L,15.432905546714522,15.5,0.06709445328547758
3,C - N -B - L,15.390677078881664,15.5,0.10932292111833597
3,C - N -B - L,15.79044871427086,15.5,0.2904487142708607
3,C - N -B - L,15.627512952467633,15.5,0.12751295246763306
3,C - N -B - L,15.091442133909855,15.5,0.40855786609014544
3,C - N -B - L,15.463772287426057,15.5,0.036227712573943194
3,C - N -B - L,15.683910319498983,15.5,0.18391031949898284
3,C - N -B - L,15.620044089877812,15.5,0.1200440898778119
3,C - N -B - L,15.829004199734388,15.5,0.32900419973438844
3,C - N -B - L,15.622490390634216,15.5,0.12249039063421563
3,C - N -B - L,15.52752488624229,15.5,0.02752488624228988
3,C - N -B - L,15.548932716614683,15.5,0.0489327166146829
3,C - N -B - L,15.385412683198735,15.5,0.11458731680126455
3,C - N -B - L,15.262756145158562,15.5,0.23724385484143795
3,C - N -B - L,15.578530736504007,15.5,0.07853073650400688
3,C - N -B - L,15.579398861894266,15.5,0.0793988618942656
3,C - N -B - L,15.424049488311562,15.5,0.07595051168843803
3,C - N -B - L,15.38349907903038,15.5,0.11650092096962084
3,C - N -B - L,15.447655760954218,15.5,0.052344239045782004
3,C - N -B - L,15.584591601419826,15.5,0.08459160141982558
3,C - N -B - L,15.294914707344281,15.5,0.20508529265571873
3,C - N -B - L,15.703914123428863,15.5,0.20391412342886284
3,C - N -B - L,15.416744786355208,15.5,0.08325521364479194
3,C - N -B - L,15.40710002807374,15.5,0.09289997192625954
3,C - N -B - L,15.371249357208885,15.5,0.1287506427911147
3,C - N -B - L,15.464331955545836,15.5,0.03566804445416416
3,C - N -B - L,15.449770936754144,15.5,0.05022906324585641
3,C - N -B - L,15.58914550469089,15.5,0.08914550469089022
3,C - N -B - L,15.729118763115869,15.5,0.22911876311586887
