Object ID,X,Y,Distance (cm),Yaw (degrees),Predicted X,Predicted Y,Predicted Distance (cm),Predicted Yaw (degrees)
3,496.74249267578125,244.03414916992188,15.823299198827241,15.490858121371607,0.0,0.0,0.0,0.0
3,497.28289794921875,243.57730102539062,15.53852445913201,15.533573379105796,491.8247370805354,241.61820867719914,15.666648380108033,15.33749847261038
3,496.7393798828125,245.25701904296875,15.664320710516764,15.490612025668005,494.5539539485688,242.59780382130657,15.60258321699922,15.435540827000432
3,496.9759826660156,244.52664184570312,15.488181135180348,15.509316041065981,495.29210189759084,243.49597851170503,15.623435630024833,15.454141636897347
3,497.4632873535156,245.252197265625,15.49369382127108,15.54782796249814,495.7265898703621,243.7619182569623,15.58853621649441,15.468378164486245
3,497.44342041015625,245.77239990234375,15.770427245523251,15.546258149874136,496.09368209243104,244.0769240873383,15.568489025808294,15.485171764510445
3,497.43475341796875,243.92047119140625,15.60153521089112,15.545573308605437,496.33832187530896,244.38422871802905,15.605090285161351,15.49624365885909
3,497.4091796875,244.920166015625,15.346253402962814,15.543552518035414,496.5143490204771,244.30977453618053,15.604519534001518,15.50416331191461
3,497.3011779785156,243.51406860351562,15.592156899901203,15.535017978375325,496.6447235680637,244.39870701906924,15.566890816935816,15.50990221885762
3,496.0523681640625,244.46035766601562,15.572788605287949,15.436282934064872,496.73316218019596,244.2795270844618,15.570294704968099,15.513285855069103
3,497.344970703125,244.88906860351562,15.286060019406317,15.538478663875505,496.64709267587943,244.3023886228284,15.570609996758652,15.503550747114721
3,497.39947509765625,244.53697204589844,15.76419924347806,15.542785668276688,496.730871296428,244.37281817866273,15.536450439287279,15.50774376161097
3,496.86773681640625,244.4580078125,15.685624538330531,15.500759368262507,496.80781526954786,244.39170926292653,15.562660128546515,15.511776439139279
3,496.5887756347656,244.47357177734375,15.36276825529961,15.478704636676913,496.8144770807407,244.39908004093166,15.576330764976467,15.510551610176623
3,496.9252624511719,244.60995483398438,15.313651069920477,15.505306772083117,496.79008348980057,244.40713103475053,15.553249138367018,15.507109620512457
3,497.642333984375,244.51480102539062,15.691603082083182,15.561974487224,496.8043595820227,244.42855101929052,15.527945466207607,15.50691922379555
3,497.1600646972656,244.56365966796875,15.555351942384023,15.523865822205558,496.89119758395236,244.43748897512202,15.544905053903024,15.512624516294245
3,496.29046630859375,244.78482055664062,15.448729425267915,15.455115033240396,496.91863129150886,244.45036273215055,15.545970996404996,15.513771516740391
3,497.3411865234375,244.16860961914062,15.399286878019991,15.538179626650015,496.8553453767826,244.48405844893816,15.536174172407794,15.507862035451424
3,497.31500244140625,244.32223510742188,15.344568195562198,15.536110458198424,496.9037862664274,244.45260655965706,15.52252579707593,15.510884857004637
3,497.63818359375,243.99545288085938,15.661628931615855,15.56164658570915,496.94443900324734,244.43971806776634,15.504932949372842,15.513378654157702
3,496.97979736328125,245.29693603515625,15.621818844282178,15.50961757425519,497.01254579106967,244.39610334956063,15.520316218894989,15.518117247896377
3,496.19696044921875,244.28707885742188,15.582660992840022,15.44771970262308,497.00934909960944,244.48403685805664,15.530224254110152,15.517287564275554
3,497.34307861328125,244.04891967773438,15.456727868861641,15.538329145371248,496.9304189955282,244.46490080109393,15.535318905843209,15.510528485898108
3,496.9681396484375,245.48129272460938,15.719278319560106,15.508696086062113,496.97035891480954,244.4246394045948,15.527712346979104,15.513219217066256
3,496.822998046875,244.717041015625,15.37535071182542,15.497222628273366,496.9701447923217,244.52658896796575,15.546195293931936,15.512782809758194
3,497.4306640625,245.04112243652344,15.621401180639216,15.545250177693054,496.95598398963057,244.54491729633511,15.529753908084638,15.511285361349286
3,497.48858642578125,243.7937774658203,15.315869753250116,15.549826967279381,497.00156927041655,244.59256970884567,15.538555134197656,15.514547128123093
3,496.9718017578125,243.62582397460938,15.52330678840502,15.508985559678994,497.0482588317118,244.51599076499932,15.517206640353503,15.51792935027816
3,497.17840576171875,244.73794555664062,15.502106832154492,15.525315381295716,497.0409393451335,244.43077217707275,15.517790627544112,15.517073131855051
3,497.03546142578125,244.4238739013672,15.490805658665314,15.514017446353238,497.0540842649481,244.4601449471201,15.516290899553043,15.51786127859431
3,497.4090881347656,245.5307159423828,15.375800175218675,15.543545283630404,497.0523051808467,244.456679887885,15.513856233899933,15.517494068161618
3,496.3016357421875,244.85928344726562,15.52122960210435,15.455998382749376,497.08636311903484,244.55920567605426,15.500677620231832,15.519980876111426
3,497.2242431640625,244.97378540039062,15.362106327520076,15.52893798397051,497.0115017673708,244.5878324682626,15.502638236348645,15.513877079968667
3,497.5616455078125,244.744384765625,15.458805580688288,15.555599508666276,497.0317863168323,244.6246324585951,15.489238745229914,15.515313112903073
3,497.5491943359375,243.38238525390625,15.704338828688757,15.554615740036846,497.08228606220877,244.63604579465908,15.486338225456901,15.519152723053859
3,497.1612548828125,243.6123046875,15.500413362376259,15.52395988739031,497.12677060152026,244.51660367990917,15.50710816454355,15.522531450872249
3,496.397705078125,243.8144989013672,15.537382547367324,15.463595842941986,497.13005514421394,244.43047143248756,15.506470501158372,15.522667505925536
3,497.4526062011719,245.13580322265625,15.536920385074803,15.546983980190934,497.060316886553,244.37181526097007,15.509414110155173,15.517042388861494
3,497.41650390625,244.79946899414062,15.366163645231179,15.54413126878977,497.09766561737666,244.44455234472485,15.512032903019652,15.519893041156426
