Object ID,Class Label,Pitch (degrees),Yaw (degrees),Roll (degrees)
3,C - N -B - L,-0.6367529473409204,15.490858121371607,-35.263922381201894
3,C - N -B - L,-0.6755945744087855,15.533573379105796,-35.8485252299445
3,C - N -B - L,-0.5327807038628766,15.490612025668005,-35.59098276418257
3,C - N -B - L,-0.5948801366507823,15.509316041065981,-35.9573773719151
3,C - N -B - L,-0.5331906738816594,15.54782796249814,-35.94130909395505
3,C - N -B - L,-0.4889603112771437,15.546258149874136,-35.36528581875344
3,C - N -B - L,-0.6464180041525927,15.545573308605437,-35.71510427659016
3,C - N -B - L,-0.5614213871326967,15.543552518035414,-36.25546374620844
3,C - N -B - L,-0.6809706018630433,15.535017978375325,-35.7359495975551
3,C - N -B - L,-0.6005158014145506,15.436282934064872,-35.78795586840004
3,C - N -B - L,-0.5640654080160947,15.538478663875505,-36.38543188989424
3,C - N -B - L,-0.5940018333448701,15.542785668276688,-35.37850581911188
3,C - N -B - L,-0.6007155922639837,15.500759368262507,-35.545636829695795
3,C - N -B - L,-0.5993923019504521,15.478704636676913,-36.22726339779494
3,C - N -B - L,-0.5877966190455123,15.505306772083117,-36.329641830310095
3,C - N -B - L,-0.5958868768761109,15.561974487224,-35.52585662149678
3,C - N -B - L,-0.591732773734502,15.523865822205558,-35.81432681527171
3,C - N -B - L,-0.5729289579795378,15.455115033240396,-36.04694381656727
3,C - N -B - L,-0.6253208897789019,15.538179626650015,-36.14270316757035
3,C - N -B - L,-0.6122593268992641,15.536110458198424,-36.25990023168674
3,C - N -B - L,-0.6400429627220758,15.56164658570915,-35.58803783410498
3,C - N -B - L,-0.5293867727552269,15.50961757425519,-35.67706038130424
3,C - N -B - L,-0.6152483910534534,15.44771970262308,-35.76599978370921
3,C - N -B - L,-0.6354971359449576,15.538329145371248,-36.020598381309405
3,C - N -B - L,-0.513711848915328,15.508696086062113,-35.47514786186603
3,C - N -B - L,-0.5786918076008328,15.497222628273366,-36.198339895372015
3,C - N -B - L,-0.5511371870963829,15.545250177693054,-35.67369427513727
3,C - N -B - L,-0.6571896341623535,15.549826967279381,-36.3199987381527
3,C - N -B - L,-0.6714691398635426,15.508985559678994,-35.883376979990494
3,C - N -B - L,-0.576914432891622,15.525315381295716,-35.926152813507954
3,C - N -B - L,-0.6036177473036227,15.514017446353238,-35.95129784210851
3,C - N -B - L,-0.5095096276423233,15.543545283630404,-36.19222944902906
3,C - N -B - L,-0.5665978536363226,15.455998382749376,-35.8938232045969
3,C - N -B - L,-0.5568624564080886,15.52893798397051,-36.22313709180577
3,C - N -B - L,-0.5763669493631831,15.555599508666276,-36.01421852001158
3,C - N -B - L,-0.6921662961155585,15.554615740036846,-35.50040928699159
3,C - N -B - L,-0.6726185540893175,15.52395988739031,-35.929880886963616
3,C - N -B - L,-0.6554278796958246,15.463595842941986,-35.85901312348519
3,C - N -B - L,-0.5430870221007656,15.546983980190934,-35.850331682416396
3,C - N -B - L,-0.571683495930648,15.54413126878977,-36.21276696830792
3,C - N -B - L,-0.550997071597489,15.556602557194305,-35.933434430952225
3,C - N -B - L,-0.5191738201354669,15.54338371511947,-36.513301756016276
3,C - N -B - L,-0.5697698943344185,15.533081390759044,-36.099879341739985
3,C - N -B - L,-0.6732957482217614,15.524874003563816,-35.84214432118371
3,C - N -B - L,-0.5651525954945267,15.548288532782468,-35.59307952545856
3,C - N -B - L,-0.6485222573013109,15.534832279770344,-35.45913677742788
3,C - N -B - L,-0.6118843963075423,15.50699299984842,-35.60196983271938
3,C - N -B - L,-0.5525266654366525,15.543583867117915,-36.01968359777926
3,C - N -B - L,-0.5579678096410546,15.548264419206124,-35.54349992135251
3,C - N -B - L,-0.5908583614734074,15.49785953991135,-35.48444899483703
3,C - N -B - L,-0.6454826358240566,15.491770117987656,-35.98936692114414
3,C - N -B - L,-0.5117138808581693,15.533660200334966,-36.19883474800127
3,C - N -B - L,-0.7160117800438562,15.461597581501715,-35.564718461269926
3,C - N -B - L,-0.6830929877838863,15.556571212075792,-35.65284018585194
3,C - N -B - L,-0.5883609658899794,15.526096832318972,-35.741663736750546
3,C - N -B - L,-0.6508781884668285,15.559582711006367,-36.11268771905538
3,C - N -B - L,-0.6286705968180594,15.502891968778629,-36.47456265210175
3,C - N -B - L,-0.6224823275621209,15.555946718878507,-36.18396342886412
3,C - N -B - L,-0.5636658211080545,15.520911166965528,-35.40554373877457
3,C - N -B - L,-0.5941912458982785,15.46634218282696,-35.41281887821875
3,C - N -B - L,-0.5731235613757961,15.562579655657524,-36.05921269902763
3,C - N -B - L,-0.6005573163974531,15.543509111597736,-35.8748065561163
3,C - N -B - L,-0.568229930635037,15.53996419077545,-36.161477837322614
3,C - N -B - L,-0.5487435464193733,15.548139028518097,-35.84336225309995
3,C - N -B - L,-0.6620480743088712,15.555151027075063,-36.131422882777976
3,C - N -B - L,-0.5812138614802345,15.560421767866194,-35.92522417616107
3,C - N -B - L,-0.6548635471854545,15.52892833672895,-35.58425565681802
3,C - N -B - L,-0.5922880383507003,15.540108883809234,-36.621542649543656
3,C - N -B - L,-0.5788786264837418,15.54096256857194,-36.22097238488984
3,C - N -B - L,-0.7047033352207979,15.488812131435182,-35.69329664994947
3,C - N -B - L,-0.601442104320554,15.50051812108806,-35.4909162801735
3,C - N -B - L,-0.6711577860298548,15.470512232748295,-35.91057117759133
3,C - N -B - L,-0.596543333577464,15.537335565283072,-35.72577074758191
3,C - N -B - L,-0.7352984065284099,15.438011323585407,-35.21191612804631
3,C - N -B - L,-0.5281361030145307,15.557757497596219,-35.77303994689509
3,C - N -B - L,-0.5702226720474031,15.542616864103977,-36.07065820377432
3,C - N -B - L,-0.6208736346374926,15.540135410843384,-36.16084510365277
3,C - N -B - L,-0.7015742708891292,15.503741136816956,-35.32948361254234
3,C - N -B - L,-0.606400543929934,15.507579192749827,-35.66544380129544
3,C - N -B - L,-0.5627291269074679,15.49229608063137,-36.814029452214484
3,C - N -B - L,-0.6056091661589237,15.516154597244556,-36.008205082453806
3,C - N -B - L,-0.6456551795222067,15.576244423371461,-35.540048114638374
3,C - N -B - L,-0.6425286340054233,15.586082027716582,-35.67162842185186
3,C - N -B - L,-0.6325444199699203,15.531144766755373,-35.24726726870863
3,C - N -B - L,-0.47456702210035984,15.593959145719914,-35.66557655284174
3,C - N -B - L,-0.6235539240787176,15.558374746441414,-35.86876351175084
3,C - N -B - L,-0.6125473358303061,15.523969535096716,-35.82778450689971
3,C - N -B - L,-0.5817055579364302,15.557612829362517,-36.17011822204555
3,C - N -B - L,-0.6169517928699622,15.51596886466815,-36.43817202820218
3,C - N -B - L,-0.7199892466746562,15.491258628813,-35.76957972549021
3,C - N -B - L,-0.6189535805107117,15.584621271731862,-35.756755617875065
3,C - N -B - L,-0.5413718995569546,15.57285009874925,-36.086044020749
3,C - N -B - L,-0.6584960300815906,15.535391786240744,-36.17669651140265
3,C - N -B - L,-0.5721323812731015,15.492624202759785,-36.04501111078189
3,C - N -B - L,-0.5017837017692447,15.522734621341373,-35.75321576318698
3,C - N -B - L,-0.7050977111902201,15.54335477744896,-36.365813375241075
3,C - N -B - L,-0.651733121093708,15.551823521972896,-35.501627945006895
3,C - N -B - L,-0.6392464057567635,15.465577172796841,-36.11365071317822
3,C - N -B - L,-0.5580456514023788,15.518643863923405,-36.12825021492527
3,C - N -B - L,-0.4960181122683437,15.57276089978672,-36.198682395334785
3,C - N -B - L,-0.661007629447434,15.544767890863291,-36.003752440353715
3,C - N -B - L,-0.5629704359685372,15.55919693544117,-36.0329628192796
3,C - N -B - L,-0.5597763326965469,15.474382892633695,-35.74935787650346
3,C - N -B - L,-0.651604686620477,15.55730179197132,-35.44891977605016
3,C - N -B - L,-0.7551336075860143,15.553260631576412,-35.92793255997391
3,C - N -B - L,-0.6154611541730537,15.535782474302552,-35.476879046614805
3,C - N -B - L,-0.5547581325589495,15.512080464366752,-35.64081608202811
3,C - N -B - L,-0.5646492199584008,15.559090846907154,-35.875617297010585
3,C - N -B - L,-0.6738717522783203,15.532586988338968,-35.793564388001194
3,C - N -B - L,-0.6157815961565133,15.530341647996336,-35.51773693570636
3,C - N -B - L,-0.547319037399426,15.580147275973212,-36.009096799589855
3,C - N -B - L,-0.5070887097770779,15.492889594895749,-36.049915175848206
3,C - N -B - L,-0.4835086687983759,15.57163746838918,-35.85766323545356
3,C - N -B - L,-0.5710192492835856,15.553711532635488,-35.92200148153574
3,C - N -B - L,-0.5201364753704543,15.517466776312004,-35.83632443617593
3,C - N -B - L,-0.5487915489883853,15.535825883995766,-35.74072163845215
3,C - N -B - L,-0.5314132718237211,15.544478517681341,-35.27535232531035
3,C - N -B - L,-0.6269451479489723,15.611376806813299,-35.55383839854317
3,C - N -B - L,-0.5761697514788098,15.528233732964242,-35.630169242145136
3,C - N -B - L,-0.6279285242109245,15.54468107899408,-35.66857678039342
3,C - N -B - L,-0.6774912341063084,15.490510691972695,-36.010987016556655
3,C - N -B - L,-0.49884771539889716,15.563247506728482,-36.124469931267
3,C - N -B - L,-0.607280140590781,15.551061556393151,-35.59264097794046
3,C - N -B - L,-0.7249202059410484,15.502066918145134,-36.18462269504971
3,C - N -B - L,-0.46430459877508323,15.585681888704329,-35.46445354923965
3,C - N -B - L,-0.6255025161418095,15.436968499834304,-36.277939551288696
3,C - N -B - L,-0.5277339165801226,15.570784038048885,-36.063433636273025
3,C - N -B - L,-0.6266908711773106,15.501024739503634,-35.679994900116284
3,C - N -B - L,-0.6528708686158662,15.46184374622519,-35.81922384216217
3,C - N -B - L,-0.6243219445583561,15.433926870688424,-35.48345188770074
3,C - N -B - L,-0.5435696433976586,15.539961779223164,-35.86118760162405
3,C - N -B - L,-0.6012163666665346,15.520539718603725,-36.05986945189976
3,C - N -B - L,-0.6271760727508172,15.532386814977363,-35.61883795393229
3,C - N -B - L,-0.637985406277231,15.494742495546456,-35.84895618489835
3,C - N -B - L,-0.6967665046917552,15.51410187188951,-35.91609389507983
3,C - N -B - L,-0.6316907782571916,15.549455623126217,-35.86580367859919
3,C - N -B - L,-0.6183671853243957,15.477309922705334,-35.616878254425174
3,C - N -B - L,-0.6111877258301598,15.557914221286536,-35.75933664911566
3,C - N -B - L,-0.6120284007970684,15.557070321674676,-35.53797544676055
3,C - N -B - L,-0.6676394849587614,15.522787684345817,-35.91131221388198
3,C - N -B - L,-0.6107323601131797,15.56433245409772,-35.70938067360412
3,C - N -B - L,-0.5623113767653068,15.57656986764116,-35.59945823105958
3,C - N -B - L,-0.5668677042687862,15.545404509001568,-35.75115239134754
3,C - N -B - L,-0.6514074942851953,15.500725593692003,-36.03733541685271
3,C - N -B - L,-0.5421840530157737,15.565964675579336,-35.42970096076802
3,C - N -B - L,-0.503274398216039,15.566429986559417,-35.699049737429185
3,C - N -B - L,-0.6328843197834636,15.485632080851456,-35.287532798633904
3,C - N -B - L,-0.5488110094891168,15.498759412161714,-35.782872552789016
3,C - N -B - L,-0.615515642286319,15.500431271967335,-36.16466762932716
3,C - N -B - L,-0.5870701033996656,15.556655602757733,-35.479769325504016
3,C - N -B - L,-0.5824761849275588,15.534721342781737,-35.553932319887906
3,C - N -B - L,-0.6779362094565654,15.531697058006772,-36.425559218272504
3,C - N -B - L,-0.5340209927397288,15.541423169559382,-35.675005151530485
3,C - N -B - L,-0.5649359364471419,15.518918837373029,-35.70645719815605
3,C - N -B - L,-0.5701980222597036,15.522840747322963,-35.6853489054288
3,C - N -B - L,-0.5352041967248298,15.561526033418867,-35.59669948482158
3,C - N -B - L,-0.7021424843753215,15.51667078732461,-35.418325838040865
3,C - N -B - L,-0.5841964727025573,15.580152097194203,-36.057375058705404
3,C - N -B - L,-0.6105390566943207,15.565132896820348,-35.53143590618759
3,C - N -B - L,-0.598903203309892,15.537591196026991,-35.565124361996126
3,C - N -B - L,-0.6771850702609978,15.44680490410418,-35.79960288646019
3,C - N -B - L,-0.5966082008319435,15.567271398478093,-35.92189014750879
3,C - N -B - L,-0.666656124097155,15.461964414993583,-36.20634603663465
3,C - N -B - L,-0.5885555682236747,15.50132388444892,-35.71344220582117
3,C - N -B - L,-0.6429801022255884,15.529449286481437,-35.758431585102414
3,C - N -B - L,-0.653616825947906,15.516077409720932,-35.918990672471615
3,C - N -B - L,-0.6506031569683187,15.529757996203704,-36.10987275502962
3,C - N -B - L,-0.5405960722477451,15.55216592239041,-35.86695418540578
3,C - N -B - L,-0.6590876053670399,15.573908426478306,-36.144355848687134
3,C - N -B - L,-0.6617341246584958,15.584838217003613,-35.84754894827767
3,C - N -B - L,-0.5436526750108541,15.530833649419986,-35.76598635999364
3,C - N -B - L,-0.7699781071910866,15.478588813395175,-35.66310892308488
3,C - N -B - L,-0.6515112797267412,15.505921922741553,-35.27686173428348
3,C - N -B - L,-0.6370617107929628,15.540181230249917,-36.00838832256947
3,C - N -B - L,-0.7222646761951961,15.525315381295716,-35.61200418282865
3,C - N -B - L,-0.6126524201623033,15.546865822115905,-35.78735558432247
3,C - N -B - L,-0.645255604624443,15.546687379051729,-35.9228425526726
3,C - N -B - L,-0.5933674309310313,15.5413315318307,-35.81428315199753
3,C - N -B - L,-0.5274095726435217,15.535107210053498,-35.578230958386655
3,C - N -B - L,-0.6604212438720455,15.561740616397502,-35.746341645872214
3,C - N -B - L,-0.5273498933555044,15.566275686778619,-35.60391105985258
3,C - N -B - L,-0.5678407231673086,15.57625165547754,-36.05441913929239
3,C - N -B - L,-0.6276301383129911,15.495147813135265,-35.67343414951799
3,C - N -B - L,-0.6190067712181021,15.498192469432217,-35.82834772615482
3,C - N -B - L,-0.6583221899490816,15.48784702778716,-36.351206673348514
3,C - N -B - L,-0.6837623951795947,15.48926572703738,-35.592481111660625
3,C - N -B - L,-0.4760784889713276,15.535493075880474,-35.66072633011326
3,C - N -B - L,-0.6259436086850967,15.540788938345845,-35.897423534177264
3,C - N -B - L,-0.6825974186227303,15.51802396494946,-36.298998584284234
3,C - N -B - L,-0.5805781588110407,15.55434086182722,-36.04172723987167
3,C - N -B - L,-0.6955081292933875,15.494351652080207,-35.92097530714589
3,C - N -B - L,-0.6177989526972497,15.545467206029588,-35.66488983497446
3,C - N -B - L,-0.5590511073008875,15.560035995447135,-35.68799422344665
3,C - N -B - L,-0.6377051840866886,15.544353122383331,-35.80632350416101
3,C - N -B - L,-0.6366828917626195,15.487094240687442,-36.264167860990256
3,C - N -B - L,-0.6391166733285802,15.590389449557831,-36.060911746180224
3,C - N -B - L,-0.5905937025151758,15.562601354857946,-35.35543504454508
3,C - N -B - L,-0.618278966568338,15.541968171208952,-35.65489399637719
3,C - N -B - L,-0.604615402925789,15.579375877701313,-36.06296574246794
3,C - N -B - L,-0.6035463935064699,15.533240563716456,-36.41979730860941
3,C - N -B - L,-0.7208065334802795,15.498578473330749,-35.57190573813523
3,C - N -B - L,-0.59813387821591,15.558984758263755,-35.709184612213086
3,C - N -B - L,-0.643209728272456,15.508454857428033,-36.1202480738284
3,C - N -B - L,-0.7497447812666637,15.55378628074853,-36.113147198070095
3,C - N -B - L,-0.6424040910340925,15.519632800100997,-35.883621157133824
3,C - N -B - L,-0.704454255626754,15.53372290451055,-35.87148008944059
3,C - N -B - L,-0.7141839073803276,15.487658831526089,-35.974366123069785
3,C - N -B - L,-0.5672556145088891,15.60003047747667,-35.84788503841154
3,C - N -B - L,-0.6539450471038182,15.515725240911737,-35.500893651830054
3,C - N -B - L,-0.5989719625404974,15.600563117867488,-36.00013229566433
3,C - N -B - L,-0.6739002930163204,15.53237716805855,-35.6471307378498
3,C - N -B - L,-0.6410211447155574,15.49469906856765,-35.494251154977675
3,C - N -B - L,-0.7031011821587193,15.522560960408688,-35.724013052397694
