Object ID,Class Label,Distance (cm)
3,C - N -B - L,15.823299198827241
3,C - N -B - L,15.53852445913201
3,C - N -B - L,15.664320710516764
3,C - N -B - L,15.488181135180348
3,C - N -B - L,15.49369382127108
3,C - N -B - L,15.770427245523251
3,C - N -B - L,15.60153521089112
3,C - N -B - L,15.346253402962814
3,C - N -B - L,15.592156899901203
3,C - N -B - L,15.572788605287949
3,C - N -B - L,15.286060019406317
3,C - N -B - L,15.76419924347806
3,C - N -B - L,15.685624538330531
3,C - N -B - L,15.36276825529961
3,C - N -B - L,15.313651069920477
3,C - N -B - L,15.691603082083182
3,C - N -B - L,15.555351942384023
3,C - N -B - L,15.448729425267915
3,C - N -B - L,15.399286878019991
3,C - N -B - L,15.344568195562198
3,C - N -B - L,15.661628931615855
3,C - N -B - L,15.621818844282178
3,C - N -B - L,15.582660992840022
3,C - N -B - L,15.456727868861641
3,C - N -B - L,15.719278319560106
3,C - N -B - L,15.37535071182542
3,C - N -B - L,15.621401180639216
3,C - N -B - L,15.315869753250116
3,C - N -B - L,15.52330678840502
3,C - N -B - L,15.502106832154492
3,C - N -B - L,15.490805658665314
3,C - N -B - L,15.375800175218675
3,C - N -B - L,15.52122960210435
3,C - N -B - L,15.362106327520076
3,C - N -B - L,15.458805580688288
3,C - N -B - L,15.704338828688757
3,C - N -B - L,15.500413362376259
3,C - N -B - L,15.537382547367324
3,C - N -B - L,15.536920385074803
3,C - N -B - L,15.366163645231179
3,C - N -B - L,15.49694245969177
3,C - N -B - L,15.226700573487962
3,C - N -B - L,15.41966754016223
3,C - N -B - L,15.542043820057033
3,C - N -B - L,15.659977867587163
3,C - N -B - L,15.725499086930272
3,C - N -B - L,15.658082534340044
3,C - N -B - L,15.456876213044792
3,C - N -B - L,15.683887474481915
3,C - N -B - L,15.7154056177435
3,C - N -B - L,15.473986575398722
3,C - N -B - L,15.373225761354183
3,C - N -B - L,15.678664892693854
3,C - N -B - L,15.630760257382027
3,C - N -B - L,15.589927104400576
3,C - N -B - L,15.41224061106461
3,C - N -B - L,15.246575165827723
3,C - N -B - L,15.379018385484345
3,C - N -B - L,15.752353178617755
3,C - N -B - L,15.752048333782458
3,C - N -B - L,15.437222935489125
3,C - N -B - L,15.525477591323126
3,C - N -B - L,15.390389528591093
3,C - N -B - L,15.54017179836789
3,C - N -B - L,15.403681803009817
3,C - N -B - L,15.500622156892774
3,C - N -B - L,15.665352750174229
3,C - N -B - L,15.177099160195889
3,C - N -B - L,15.362493332295148
3,C - N -B - L,15.615204899613316
3,C - N -B - L,15.712115845265483
3,C - N -B - L,15.512483263795387
3,C - N -B - L,15.596896607652637
3,C - N -B - L,15.852036095880006
3,C - N -B - L,15.573147042707486
3,C - N -B - L,15.432905546714522
3,C - N -B - L,15.390677078881664
3,C - N -B - L,15.79044871427086
3,C - N -B - L,15.627512952467633
3,C - N -B - L,15.091442133909855
3,C - N -B - L,15.463772287426057
3,C - N -B - L,15.683910319498983
3,C - N -B - L,15.620044089877812
3,C - N -B - L,15.829004199734388
3,C - N -B - L,15.622490390634216
3,C - N -B - L,15.52752488624229
3,C - N -B - L,15.548932716614683
3,C - N -B - L,15.385412683198735
3,C - N -B - L,15.262756145158562
3,C - N -B - L,15.578530736504007
3,C - N -B - L,15.579398861894266
3,C - N -B - L,15.424049488311562
3,C - N -B - L,15.38349907903038
3,C - N -B - L,15.447655760954218
3,C - N -B - L,15.584591601419826
3,C - N -B - L,15.294914707344281
3,C - N -B - L,15.703914123428863
3,C - N -B - L,15.416744786355208
3,C - N -B - L,15.40710002807374
3,C - N -B - L,15.371249357208885
3,C - N -B - L,15.464331955545836
3,C - N -B - L,15.449770936754144
3,C - N -B - L,15.58914550469089
3,C - N -B - L,15.729118763115869
3,C - N -B - L,15.499732508192691
3,C - N -B - L,15.71684290942881
3,C - N -B - L,15.63909210123569
3,C - N -B - L,15.524229201549119
3,C - N -B - L,15.564767014760939
3,C - N -B - L,15.697386108061705
3,C - N -B - L,15.459889357248331
3,C - N -B - L,15.445328470389478
3,C - N -B - L,15.53206149875374
3,C - N -B - L,15.502518459865152
3,C - N -B - L,15.545225560928165
3,C - N -B - L,15.589828432788083
3,C - N -B - L,15.8144361666685
3,C - N -B - L,15.675185755361422
3,C - N -B - L,15.643285705130088
3,C - N -B - L,15.623889361101984
3,C - N -B - L,15.463832567192966
3,C - N -B - L,15.40651457772386
3,C - N -B - L,15.660027973592117
3,C - N -B - L,15.381524427193444
3,C - N -B - L,15.719897289668408
3,C - N -B - L,15.341203262372849
3,C - N -B - L,15.434794798527603
3,C - N -B - L,15.62089807130182
3,C - N -B - L,15.556447372475615
3,C - N -B - L,15.719612714730255
3,C - N -B - L,15.53214727771328
3,C - N -B - L,15.439164793428079
3,C - N -B - L,15.648497735324485
3,C - N -B - L,15.540464652522784
3,C - N -B - L,15.50749032743129
3,C - N -B - L,15.529426497899296
3,C - N -B - L,15.652600818537955
3,C - N -B - L,15.579681603141054
3,C - N -B - L,15.686038461486874
3,C - N -B - L,15.509284273965047
3,C - N -B - L,15.60320627452705
3,C - N -B - L,15.655260880008846
3,C - N -B - L,15.5842996596122
3,C - N -B - L,15.4508458453134
3,C - N -B - L,15.7379251721104
3,C - N -B - L,15.608033504781828
3,C - N -B - L,15.812051457734222
3,C - N -B - L,15.571760361133483
3,C - N -B - L,15.390963382796665
3,C - N -B - L,15.714207747846842
3,C - N -B - L,15.679642720195229
3,C - N -B - L,15.267809193134623
3,C - N -B - L,15.620991309195919
3,C - N -B - L,15.60719062450944
3,C - N -B - L,15.61708921903216
3,C - N -B - L,15.65746516988811
3,C - N -B - L,15.746390765012027
3,C - N -B - L,15.43714104731435
3,C - N -B - L,15.688722310302769
3,C - N -B - L,15.674074843568476
3,C - N -B - L,15.566643038168282
3,C - N -B - L,15.501824667769785
3,C - N -B - L,15.373418287270344
3,C - N -B - L,15.604837634720848
3,C - N -B - L,15.581720348907828
3,C - N -B - L,15.506008129814983
3,C - N -B - L,15.415146524221782
3,C - N -B - L,15.528729335514535
3,C - N -B - L,15.396621247977041
3,C - N -B - L,15.536130961455651
3,C - N -B - L,15.578032316538225
3,C - N -B - L,15.630281178855055
3,C - N -B - L,15.816046948820405
3,C - N -B - L,15.46239105774568
3,C - N -B - L,15.652194508887371
3,C - N -B - L,15.566928531680022
3,C - N -B - L,15.50250570577369
3,C - N -B - L,15.554398542944941
3,C - N -B - L,15.667898595273138
3,C - N -B - L,15.58567375045746
3,C - N -B - L,15.653717791199451
3,C - N -B - L,15.438742925075701
3,C - N -B - L,15.624381651041213
3,C - N -B - L,15.550092688242714
3,C - N -B - L,15.304501829594589
3,C - N -B - L,15.663675510644325
3,C - N -B - L,15.628184340387154
3,C - N -B - L,15.51488704498966
3,C - N -B - L,15.327270161461534
3,C - N -B - L,15.445901997558142
3,C - N -B - L,15.506249932640534
3,C - N -B - L,15.625613807370181
3,C - N -B - L,15.613696865802599
3,C - N -B - L,15.558023367261592
3,C - N -B - L,15.345092400991593
3,C - N -B - L,15.434923757300044
3,C - N -B - L,15.774237980794325
3,C - N -B - L,15.630613743104917
3,C - N -B - L,15.434552058448737
3,C - N -B - L,15.27039946564884
3,C - N -B - L,15.67306511964446
3,C - N -B - L,15.603605522446568
3,C - N -B - L,15.411395425839492
3,C - N -B - L,15.412333265642301
3,C - N -B - L,15.5226060195305
3,C - N -B - L,15.5275994191136
3,C - N -B - L,15.481305887496475
3,C - N -B - L,15.535118759142087
3,C - N -B - L,15.70639265834727
