Object ID,Class Label,Estimated Distance (cm),Ground Truth Distance (cm),Error (cm)
3,C - N -B - L,16.55110568327445,16.5,0.05110568327445009
3,C - N -B - L,16.72741646806876,16.5,0.22741646806876048
3,C - N -B - L,16.46619344711947,16.5,0.033806552880530916
3,C - N -B - L,16.652932652052304,16.5,0.15293265205230355
3,C - N -B - L,16.594921340706538,16.5,0.0949213407065379
3,C - N -B - L,16.533518360349298,16.5,0.03351836034929789
3,C - N -B - L,16.47851536177691,16.5,0.021484638223089547
3,C - N -B - L,16.667382070168433,16.5,0.16738207016843276
3,C - N -B - L,16.667946001579256,16.5,0.16794600157925643
3,C - N -B - L,16.541082838899566,16.5,0.0410828388995661
3,C - N -B - L,16.520392026798522,16.5,0.020392026798521812
3,C - N -B - L,16.643550539584574,16.5,0.14355053958457376
3,C - N -B - L,16.564379176121157,16.5,0.0643791761211574
3,C - N -B - L,16.401041841805696,16.5,0.09895815819430354
3,C - N -B - L,16.258076791279194,16.5,0.24192320872080586
3,C - N -B - L,16.51710772717534,16.5,0.017107727175339704
3,C - N -B - L,16.4980460880197,16.5,0.0019539119803013705
3,C - N -B - L,16.403074196605402,16.5,0.09692580339459766
3,C - N -B - L,16.473413434128666,16.5,0.02658656587133379
3,C - N -B - L,16.491484998409558,16.5,0.008515001590442495
3,C - N -B - L,16.573269887753415,16.5,0.07326988775341547
3,C - N -B - L,16.459441282597588,16.5,0.040558717402412015
3,C - N -B - L,16.45576943573913,16.5,0.044230564260871574
3,C - N -B - L,16.764542991713157,16.5,0.26454299171315654
3,C - N -B - L,16.500804054084078,16.5,0.0008040540840781318
3,C - N -B - L,16.525121655602103,16.5,0.025121655602102777
3,C - N -B - L,16.809058932518052,16.5,0.3090589325180524
3,C - N -B - L,16.719732567586526,16.5,0.21973256758652582
3,C - N -B - L,16.537140812410843,16.5,0.03714081241084344
3,C - N -B - L,16.53065156004109,16.5,0.03065156004108971
3,C - N -B - L,16.5160132508052,16.5,0.01601325080520155
3,C - N -B - L,16.601523322993145,16.5,0.10152332299314537
3,C - N -B - L,16.539694822200822,16.5,0.03969482220082199
3,C - N -B - L,16.69899520814636,16.5,0.19899520814636062
3,C - N -B - L,16.73549610719953,16.5,0.2354961071995305
3,C - N -B - L,16.825851545556663,16.5,0.32585154555666307
3,C - N -B - L,16.57473862908422,16.5,0.07473862908421935
3,C - N -B - L,16.608028093745624,16.5,0.10802809374562372
3,C - N -B - L,16.276938430888126,16.5,0.22306156911187358
3,C - N -B - L,16.754119284111727,16.5,0.25411928411172724
3,C - N -B - L,16.389892488473365,16.5,0.11010751152663545
3,C - N -B - L,16.661067171259745,16.5,0.16106717125974512
3,C - N -B - L,16.387103777336073,16.5,0.1128962226639274
3,C - N -B - L,16.485177184002453,16.5,0.014822815997547423
3,C - N -B - L,16.34551714388133,16.5,0.15448285611866908
3,C - N -B - L,16.48454118791659,16.5,0.015458812083409157
3,C - N -B - L,16.62300967491412,16.5,0.12300967491411896
3,C - N -B - L,16.777140872280373,16.5,0.27714087228037343
3,C - N -B - L,16.491538401701437,16.5,0.008461598298563189
3,C - N -B - L,16.515337961757496,16.5,0.015337961757495577
3,C - N -B - L,16.719005656619096,16.5,0.2190056566190961
3,C - N -B - L,16.504605895013103,16.5,0.004605895013103378
3,C - N -B - L,16.58383896262221,16.5,0.08383896262220958
3,C - N -B - L,16.35830233006966,16.5,0.14169766993034116
3,C - N -B - L,16.484453940580796,16.5,0.015546059419204283
3,C - N -B - L,16.50939664123865,16.5,0.009396641238648584
3,C - N -B - L,16.43750429161259,16.5,0.062495708387409366
3,C - N -B - L,16.386313589415526,16.5,0.11368641058447437
3,C - N -B - L,16.65354712013005,16.5,0.15354712013004956
3,C - N -B - L,16.56950337362298,16.5,0.06950337362297887
3,C - N -B - L,16.641985064770633,16.5,0.14198506477063333
3,C - N -B - L,16.3495023876783,16.5,0.15049761232170056
3,C - N -B - L,16.727241249322798,16.5,0.2272412493227982
3,C - N -B - L,16.444061236841865,16.5,0.055938763158135174
3,C - N -B - L,16.720561916677465,16.5,0.2205619166774646
3,C - N -B - L,16.54818046337425,16.5,0.0481804633742513
3,C - N -B - L,16.70411789855962,16.5,0.2041178985596197
3,C - N -B - L,16.42147108414707,16.5,0.07852891585293165
3,C - N -B - L,16.63624310281003,16.5,0.13624310281003105
3,C - N -B - L,16.515932184251508,16.5,0.015932184251507664
3,C - N -B - L,16.445831547348305,16.5,0.054168452651694565
3,C - N -B - L,16.624192443979087,16.5,0.12419244397908713
3,C - N -B - L,16.389412075473878,16.5,0.1105879245261221
3,C - N -B - L,16.64417828215772,16.5,0.14417828215772133
3,C - N -B - L,16.501200704918865,16.5,0.0012007049188653696
3,C - N -B - L,16.65971049799769,16.5,0.15971049799768977
3,C - N -B - L,16.557031967578382,16.5,0.05703196757838214
3,C - N -B - L,16.552862038719795,16.5,0.05286203871979467
3,C - N -B - L,16.53231727264762,16.5,0.032317272647620854
3,C - N -B - L,16.763822618962465,16.5,0.2638226189624646
3,C - N -B - L,16.62192018043477,16.5,0.12192018043477049
3,C - N -B - L,16.393777455367935,16.5,0.1062225446320646
3,C - N -B - L,16.741309030489383,16.5,0.2413090304893828
3,C - N -B - L,16.468369357346436,16.5,0.03163064265356397
3,C - N -B - L,16.542539345362236,16.5,0.04253934536223625
3,C - N -B - L,16.429392455190648,16.5,0.07060754480935216
3,C - N -B - L,16.722237927706136,16.5,0.2222379277061357
3,C - N -B - L,16.47838422652083,16.5,0.02161577347916932
3,C - N -B - L,16.69925197100784,16.5,0.19925197100783976
3,C - N -B - L,16.708955548073995,16.5,0.20895554807399463
3,C - N -B - L,16.43229660414756,16.5,0.06770339585244045
3,C - N -B - L,16.50483286127854,16.5,0.004832861278540435
3,C - N -B - L,16.656430206317946,16.5,0.15643020631794613
3,C - N -B - L,16.44475582479469,16.5,0.05524417520530989
3,C - N -B - L,16.40159931506855,16.5,0.09840068493144827
3,C - N -B - L,16.6443569107711,16.5,0.14435691077110135
3,C - N -B - L,16.566223551199126,16.5,0.06622355119912626
3,C - N -B - L,16.80284675610279,16.5,0.30284675610279166
3,C - N -B - L,16.634791343367507,16.5,0.13479134336750676
3,C - N -B - L,16.566176945270925,16.5,0.0661769452709251
3,C - N -B - L,16.46900842434449,16.5,0.03099157565550925
3,C - N -B - L,16.795821718825827,16.5,0.2958217188258274
3,C - N -B - L,16.45016743952066,16.5,0.04983256047934148
3,C - N -B - L,16.712000882204173,16.5,0.21200088220417257
3,C - N -B - L,16.788048684299465,16.5,0.28804868429946495
3,C - N -B - L,16.531328101998227,16.5,0.031328101998227
3,C - N -B - L,16.343176541832523,16.5,0.15682345816747656
3,C - N -B - L,16.53188576502989,16.5,0.03188576502989093
3,C - N -B - L,16.626201263859663,16.5,0.12620126385966302
3,C - N -B - L,16.622344670386088,16.5,0.12234467038608798
3,C - N -B - L,16.377984558901417,16.5,0.12201544109858276
3,C - N -B - L,16.604187241149734,16.5,0.10418724114973443
3,C - N -B - L,16.705646210104206,16.5,0.2056462101042058
3,C - N -B - L,16.440505263150452,16.5,0.059494736849547536
3,C - N -B - L,16.70724886809185,16.5,0.20724886809184895
3,C - N -B - L,16.52022111833016,16.5,0.02022111833015927
3,C - N -B - L,16.646355166207822,16.5,0.1463551662078224
