Object ID,Class Label,Distance (cm)
3,C - N -B - L,16.438152437377486
3,C - N -B - L,16.529703189302765
3,C - N -B - L,16.689758479083537
3,C - N -B - L,16.813375459607823
3,C - N -B - L,16.52202597437737
3,C - N -B - L,16.6405683067301
3,C - N -B - L,16.41070126568888
3,C - N -B - L,16.769084405643333
3,C - N -B - L,16.590465724411224
3,C - N -B - L,16.54376370622689
3,C - N -B - L,16.684768687958854
3,C - N -B - L,16.65084527107663
3,C - N -B - L,16.238042726557115
3,C - N -B - L,16.437065531678687
3,C - N -B - L,16.48147006086548
3,C - N -B - L,16.578111523515506
3,C - N -B - L,16.803750305225012
3,C - N -B - L,16.725135199369895
3,C - N -B - L,16.758415834323387
3,C - N -B - L,16.552268063895895
3,C - N -B - L,16.6655998555073
3,C - N -B - L,16.325879585893194
3,C - N -B - L,16.737291816713586
3,C - N -B - L,16.39884443863923
3,C - N -B - L,16.573221784499516
3,C - N -B - L,16.647986915973533
3,C - N -B - L,16.62357207418206
3,C - N -B - L,16.62292828782007
3,C - N -B - L,16.614333606274656
3,C - N -B - L,16.479416793013442
3,C - N -B - L,16.60740966160414
3,C - N -B - L,16.62250083535699
3,C - N -B - L,16.673954792589633
3,C - N -B - L,16.47382677215347
3,C - N -B - L,16.258940938039668
3,C - N -B - L,16.659381306040213
3,C - N -B - L,16.822068480806177
3,C - N -B - L,16.485227661984275
3,C - N -B - L,16.261129772601386
3,C - N -B - L,16.512871056726944
3,C - N -B - L,16.672609296620056
3,C - N -B - L,16.508515791370115
3,C - N -B - L,16.609831690231324
3,C - N -B - L,16.50770951285141
3,C - N -B - L,16.627474721269937
3,C - N -B - L,16.794987132675708
3,C - N -B - L,16.63272906168429
3,C - N -B - L,16.555835461620294
3,C - N -B - L,16.646736786097264
3,C - N -B - L,16.3201953333527
3,C - N -B - L,16.39329610150013
3,C - N -B - L,16.664691205421843
3,C - N -B - L,16.5187171314658
3,C - N -B - L,16.622969347876015
3,C - N -B - L,16.31931406316084
3,C - N -B - L,16.65448988325961
3,C - N -B - L,16.656961739387516
3,C - N -B - L,16.656667993234564
3,C - N -B - L,16.726293201385456
3,C - N -B - L,16.49318108268566
3,C - N -B - L,16.73509851667938
3,C - N -B - L,16.744511244982785
3,C - N -B - L,16.60864949976458
3,C - N -B - L,16.527754585482324
3,C - N -B - L,16.40320342200072
3,C - N -B - L,16.592876237898686
3,C - N -B - L,16.688795460131583
3,C - N -B - L,16.33900878307384
