Object ID,Raw X,Raw Y,Raw Distance,Raw Yaw (degrees),Filtered X,Filtered Y,Filtered Distance,Filtered Yaw (degrees)
3,490.66241455078125,263.4920349121094,16.55110568327445,15.009062115461967,485.80485178916575,260.88346115790574,16.387249573153923,14.86047225192903
3,489.8424072265625,262.9530944824219,16.72741646806876,14.943915106699066,487.8237304317114,261.9183295532882,16.557341523516698,14.902195765074618
3,490.72509765625,264.0455322265625,16.46619344711947,15.014040459918881,488.80369421478696,262.63681205403464,16.526555412399553,14.939972351695411
3,490.1993713378906,262.1519470214844,16.652932652052304,14.972279655833653,489.16381764824587,262.5117034186664,16.55916424771069,14.94830853282174
3,490.4166259765625,263.2620849609375,16.594921340706538,14.989539144633726,489.428628415538,262.670314362958,16.566722357772978,14.95702360096351
3,490.59991455078125,264.3351745605469,16.533518360349298,15.004098082443132,489.6409237783138,262.9720699195066,16.56070414030539,14.965555840714748
3,490.4107666015625,263.3804931640625,16.47851536177691,14.989073691354214,489.76451857573807,263.03764043162914,16.547509102141742,14.969331525695967
3,489.42291259765625,262.8307189941406,16.667382070168433,14.910572269057639,489.7147474553612,263.0074925055547,16.56497428807054,14.960770451759783
3,489.58209228515625,262.07720947265625,16.667946001579256,14.92322562152575,489.696875933808,262.88216325342415,16.578846805775648,14.955712350807499
3,490.23199462890625,261.5784606933594,16.541082838899566,14.974871544767492,489.76452840980824,262.71734242588775,16.57407248956102,14.958134555304252
3,489.10760498046875,262.78924560546875,16.520392026798522,14.885503758368596,489.685666292694,262.7259742339734,16.567628275894627,14.949415398461575
3,489.19952392578125,262.3876037597656,16.643550539584574,14.892812370493305,489.6297202673447,262.68703402958903,16.576365528967116,14.942901433308382
3,489.6605529785156,262.818359375,16.564379176121157,14.929461992560746,489.63314811110297,262.70163419767266,16.575032939544162,14.941407296032356
3,489.73883056640625,264.2575378417969,16.401041841805696,14.935683448948273,489.6445701672315,262.86979473768645,16.55622815233013,14.940788668252768
